"row_number","breed_name","zip_code","borough","cleaned_borough","final_borough","issued_year","expired_year","pit_bull"
12307,"unknown",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
71726,"unknown",10305,"staten island","Staten Island","Staten Island",2016,2017,FALSE
88931,"pug",10303,"staten island","Staten Island","Staten Island",2016,2018,FALSE
12,"bull terrier",10312,"staten island","Staten Island","Staten Island",2014,2019,FALSE
19,"boxer",10308,"staten island","Staten Island","Staten Island",2014,2019,FALSE
57,"bichon frise",10309,"staten island","Staten Island","Staten Island",2014,2017,FALSE
80,"puggle",10308,"staten island","Staten Island","Staten Island",2014,2017,FALSE
86,"french bulldog",10309,"staten island","Staten Island","Staten Island",2014,2019,FALSE
87,"yorkshire terrier",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
140,"labradoodle",10301,"staten island","Staten Island","Staten Island",2014,2019,FALSE
160,"yorkshire terrier",10314,"staten island","Staten Island","Staten Island",2014,2019,FALSE
167,"beagle crossbreed",10309,"staten island","Staten Island","Staten Island",2014,2019,FALSE
172,"collie, border",10310,"staten island","Staten Island","Staten Island",2014,2016,FALSE
177,"collie crossbreed",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
183,"unknown",10314,"staten island","Staten Island","Staten Island",2014,2018,FALSE
240,"unknown",10306,"staten island","Staten Island","Staten Island",2014,2019,FALSE
243,"border collie",10301,"staten island","Staten Island","Staten Island",2014,2017,FALSE
251,"unknown",10306,"staten island","Staten Island","Staten Island",2014,2019,FALSE
253,"rhodesian ridgeback",10306,"staten island","Staten Island","Staten Island",2014,2019,FALSE
255,"rhodesian ridgeback",10306,"staten island","Staten Island","Staten Island",2014,2019,FALSE
280,"cane corso",10301,"staten island","Staten Island","Staten Island",2014,2016,FALSE
313,"greyhound",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
315,"chihuahua",10304,"staten island","Staten Island","Staten Island",2014,2016,FALSE
321,"unknown",10304,"staten island","Staten Island","Staten Island",2014,2016,FALSE
387,"yorkshire terrier",10304,"staten island","Staten Island","Staten Island",2014,2016,FALSE
433,"doberman pinscher",10309,"staten island","Staten Island","Staten Island",2014,2019,FALSE
435,"shih tzu",10314,"staten island","Staten Island","Staten Island",2014,2019,FALSE
436,"silky terrier",10312,"staten island","Staten Island","Staten Island",2014,2019,FALSE
440,"doberman pinscher",10309,"staten island","Staten Island","Staten Island",2014,2019,FALSE
442,"rottweiler",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
525,"poodle, standard",10303,"staten island","Staten Island","Staten Island",2014,2016,FALSE
526,"unknown",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
586,"maltese",10304,"staten island","Staten Island","Staten Island",2014,2016,FALSE
617,"maltese",10312,"staten island","Staten Island","Staten Island",2014,2017,FALSE
620,"labrador retriever crossbreed",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
631,"miniature pinscher",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
650,"shih tzu",10310,"staten island","Staten Island","Staten Island",2014,2016,FALSE
