"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull","zip_match","zip_code_imputed"
8140,2015-12-02,"DOG","Pug",7,"F",TRUE,"Staten Island",NA,FALSE,NA,"10312"
1,2015-01-27,"DOG","Jack Russ",11,"M",FALSE,"Brooklyn","11217",FALSE,TRUE,"11217"
2,2015-01-25,"DOG","Mastiff, Bull",NA,"U",FALSE,"Brooklyn",NA,FALSE,NA,"11231"
3,2015-01-20,"DOG","PIT BULL/GOLDEN RETRIVE X",NA,"U",FALSE,"Brooklyn","11236",TRUE,TRUE,"11236"
4,2014-12-26,"DOG","Doberman Pinscher",NA,"M",FALSE,"Brooklyn","11204",FALSE,TRUE,"11204"
5,2015-01-29,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE,NA,"11204"
6,2015-01-31,"DOG","Chihuahua Crossbreed",3,"M",FALSE,"Brooklyn",NA,FALSE,NA,"11229"
7,2015-01-31,"DOG","German Shepherd Crossbreed",NA,"F",FALSE,"Brooklyn","11220",FALSE,TRUE,"11220"
8,2015-01-23,"DOG","German Shepherd",4,"M",FALSE,"Brooklyn","11229",FALSE,TRUE,"11229"
9,2015-02-04,"DOG","Pomeranian",1,"F",FALSE,"Brooklyn","11216",FALSE,TRUE,"11216"
10,2015-02-05,"DOG","Dalmatian",10,"M",TRUE,"Brooklyn","11214",FALSE,TRUE,"11214"
11,2015-02-01,"DOG","Rottweiler",NA,"U",FALSE,"Brooklyn","11204",FALSE,TRUE,"11204"
12,2015-02-04,"DOG","Rottweiler",NA,"U",FALSE,"Brooklyn","11220",FALSE,TRUE,"11220"
13,2015-02-06,"DOG","Shiba Inu",3,"M",FALSE,"Brooklyn","11252",FALSE,TRUE,"11252"
14,2015-02-07,"DOG","Maltese",NA,"U",FALSE,"Brooklyn","11215",FALSE,TRUE,"11215"
15,2015-02-07,"DOG","Pit Bull",5,"M",TRUE,"Brooklyn","11214",TRUE,TRUE,"11214"
16,2015-02-06,"DOG","Dachshund Smooth Coat",NA,"U",FALSE,"Brooklyn",NA,FALSE,NA,"11226"
17,2015-01-27,"DOG","Poodle, Standard",NA,"U",FALSE,"Brooklyn","11214",FALSE,TRUE,"11214"
18,2015-02-10,"DOG","Welsh Corgi, Pembroke",NA,"U",FALSE,"Brooklyn","11204",FALSE,TRUE,"11204"
19,2015-02-07,"DOG","Shiba Inu",NA,"M",FALSE,"Brooklyn","11206",FALSE,TRUE,"11206"
20,2015-02-07,"DOG","RAT TERRIER",5,"M",TRUE,"Brooklyn","11208",FALSE,TRUE,"11208"
21,2015-01-27,"DOG","American Pit Bull Terrier/Pit Bull",2,"M",FALSE,"Brooklyn","11228",TRUE,TRUE,"11228"
22,2015-02-11,"DOG","Staffordshire Bull Terrier",4,"M",FALSE,"Brooklyn","11235",FALSE,TRUE,"11235"
23,2015-02-11,"DOG","RAT TERRIER",13,"F",TRUE,"Brooklyn","11209",FALSE,TRUE,"11209"
24,2015-02-09,"DOG","American Pit Bull Terrier/Pit Bull",10,"F",TRUE,"Brooklyn","11232",TRUE,TRUE,"11232"
25,2015-02-12,"DOG","German Shepherd",4,"M",FALSE,"Brooklyn","11229",FALSE,TRUE,"11229"
