"issued_year","ZipCode","n"
2014,10002,2
2014,10009,1
2014,10011,4
2014,10016,1
2014,10023,1
2014,10025,1
2014,10026,3
2014,10027,1
2014,10029,3
2014,10032,1
2014,10035,1
2014,10040,1
2014,10075,1
2014,10301,1
2014,10304,1
2014,10305,2
2014,10307,1
2014,10309,1
2014,10310,1
2014,10314,1
2014,10455,1
2014,10458,1
2014,10459,1
2014,10461,2
2014,10463,3
2014,10465,2
2014,10470,1
2014,11201,2
2014,11204,1
2014,11206,1
2014,11208,3
2014,11209,3
2014,11216,1
2014,11217,1
2014,11218,1
2014,11221,2
2014,11223,1
2014,11228,2
2014,11230,1
2014,11231,1
2014,11233,1
2014,11234,2
2014,11235,1
2014,11249,2
2014,11358,2
2014,11375,1
2014,11415,1
2014,11416,1
2014,11419,1
2014,11420,1
2014,11434,1
2014,11691,1
2015,10001,7
2015,10002,25
2015,10003,11
2015,10004,1
2015,10005,2
2015,10006,2
2015,10009,31
2015,10010,5
2015,10011,13
2015,10012,9
2015,10013,4
2015,10014,10
2015,10016,6
2015,10017,1
2015,10018,3
2015,10019,10
2015,10021,6
2015,10022,5
2015,10023,14
2015,10024,22
2015,10025,47
2015,10026,13
2015,10027,22
2015,10028,9
2015,10029,58
2015,10030,17
2015,10031,21
2015,10032,16
2015,10033,35
2015,10034,16
2015,10035,22
2015,10036,8
2015,10037,8
2015,10038,6
2015,10039,12
2015,10040,11
2015,10044,1
2015,10065,6
2015,10069,1
2015,10075,11
2015,10128,22
2015,10280,2
2015,10301,24
2015,10302,16
2015,10303,33
2015,10304,21
2015,10305,20
2015,10306,40
2015,10307,8
2015,10308,17
2015,10309,21
2015,10310,18
2015,10312,28
2015,10314,35
2015,10451,13
2015,10452,24
2015,10453,27
2015,10454,21
2015,10455,21
2015,10456,38
2015,10457,27
2015,10458,28
2015,10459,11
2015,10460,24
2015,10461,26
2015,10462,26
2015,10463,30
2015,10464,2
2015,10465,27
2015,10466,24
2015,10467,46
2015,10468,21
2015,10469,19
2015,10470,4
2015,10471,6
2015,10472,33
2015,10473,31
2015,10474,9
2015,10475,3
2015,11004,3
2015,11101,7
2015,11102,7
2015,11103,12
2015,11104,9
2015,11105,13
2015,11106,22
2015,11109,1
2015,11201,21
2015,11203,12
2015,11204,8
2015,11205,27
2015,11206,39
2015,11207,40
2015,11208,45
2015,11209,26
2015,11210,13
2015,11211,23
2015,11212,28
2015,11213,20
2015,11214,17
2015,11215,31
2015,11216,32
2015,11217,22
2015,11218,23
2015,11219,4
2015,11220,16
2015,11221,46
2015,11222,22
2015,11223,16
2015,11224,18
2015,11225,24
2015,11226,32
2015,11228,9
2015,11229,15
2015,11230,7
2015,11231,21
2015,11232,9
2015,11233,26
2015,11234,27
2015,11235,16
2015,11236,32
2015,11237,26
2015,11238,30
2015,11239,1
2015,11249,7
2015,11354,5
2015,11355,6
2015,11356,9
2015,11357,7
2015,11358,9
2015,11360,3
2015,11361,11
2015,11362,1
2015,11364,5
2015,11365,10
2015,11366,5
2015,11367,1
2015,11368,18
2015,11369,12
2015,11370,11
2015,11372,17
2015,11373,14
2015,11374,12
2015,11375,13
2015,11377,18
2015,11378,22
2015,11379,14
2015,11385,46
2015,11386,1
2015,11411,2
2015,11412,12
2015,11413,9
2015,11414,15
2015,11415,4
2015,11416,11
2015,11417,10
2015,11418,8
2015,11419,10
2015,11420,10
2015,11421,17
2015,11422,7
2015,11423,3
2015,11426,3
2015,11427,4
2015,11428,7
2015,11429,9
2015,11432,11
2015,11433,19
2015,11434,6
2015,11435,12
2015,11436,10
2015,11691,15
2015,11692,4
2015,11693,7
2015,11694,6
2016,10001,9
2016,10002,37
2016,10003,21
2016,10004,3
2016,10005,1
2016,10006,1
2016,10009,45
2016,10010,9
2016,10011,28
2016,10012,11
2016,10013,10
2016,10014,10
2016,10016,13
2016,10017,7
2016,10018,4
2016,10019,23
2016,10021,7
2016,10022,6
2016,10023,20
2016,10024,38
2016,10025,53
2016,10026,26
2016,10027,35
2016,10028,12
2016,10029,70
2016,10030,18
2016,10031,31
2016,10032,24
2016,10033,32
2016,10034,40
2016,10035,28
2016,10036,9
2016,10037,13
2016,10038,11
2016,10039,16
2016,10040,25
2016,10044,4
2016,10065,7
2016,10069,3
2016,10075,6
2016,10128,27
2016,10156,1
2016,10280,3
2016,10301,25
2016,10302,20
2016,10303,32
2016,10304,26
2016,10305,33
2016,10306,51
