"RowNumber","BreedName","ZipCode","Borough","cleaned_borough","supposed_borough","LicenseIssuedDate","LicenseExpiredDate","issued_year","expired_year"
662,"Italian Greyhound",7030,"manhattan","manhattan","not nyc",2014-11-01,2016-09-08,2014,2016
1040,"Beagle",28677,"staten island","staten","statesville",2014-12-11,2016-12-14,2014,2016
1598,"West High White Terrier",11040,"queens","queens","new hyde park",2014-12-26,2016-01-30,2014,2016
1988,"Australian Shepherd",10468,"manhattan","manhattan","bronx",2015-01-02,2016-01-02,2015,2016
2031,"American Pit Bull Terrier/Pit Bull",10463,"manhattan","manhattan","bronx",2015-01-02,2016-01-02,2015,2016
2126,"Shih Tzu",11239,"bronx","bronx","brooklyn",2015-01-03,2016-01-03,2015,2016
2295,"Unknown",10009,"new york","unknown","new york",2015-01-05,2016-01-21,2015,2016
2615,"Poodle",11001,"queens","queens","not nyc",2015-01-09,2016-01-09,2015,2016
2684,"Yorkshire Terrier",10028,"new york","unknown","new york",2015-01-11,2016-01-06,2015,2016
2718,"Maltese",11212,"manhattan","manhattan","brooklyn",2015-01-12,2016-01-12,2015,2016
2723,"Maltese",11223,"manhattan","manhattan","brooklyn",2015-01-12,2016-01-12,2015,2016
2803,"Dachshund",12051,"queens","queens","coxsackie",2015-01-13,2016-01-13,2015,2016
2808,"American Staffordshire Terrier",11001,"queens","queens","not nyc",2015-01-13,2016-01-13,2015,2016
2895,"American Pit Bull Terrier/Pit Bull",11692,"brooklyn","brooklyn","queens",2015-01-14,2016-01-14,2015,2016
2930,"Yorkshire Terrier",11469,"bronx","bronx",NA,2015-01-14,2016-01-14,2015,2016
3054,"American Pit Bull Terrier/Pit Bull",11001,"queens","queens","not nyc",2015-01-15,2016-01-27,2015,2016
3093,"American Staffordshire Terrier",11001,"queens","queens","not nyc",2015-01-15,2016-01-27,2015,2016
3447,"Shih Tzu",53494,"bronx","bronx",NA,2015-01-18,2016-01-18,2015,2016
3579,"Unknown",11003,"queens","queens","elmont",2015-01-20,2016-01-20,2015,2016
3631,"Havanese",11040,"queens","queens","new hyde park",2015-01-20,2016-01-20,2015,2016
3801,"Bernese Mountain Dog",11746,"manhattan","manhattan","huntington station",2015-01-22,2016-01-22,2015,2016
3806,"Shih Tzu",11746,"manhattan","manhattan","huntington station",2015-01-22,2016-01-22,2015,2016
3883,"Bull Terrier",10024,"new york","unknown","new york",2015-01-23,2016-01-23,2015,2016
4032,"Yorkshire Terrier",53494,"bronx","bronx",NA,2015-01-25,2016-01-25,2015,2016
4057,"Poodle",11693,"brooklyn","brooklyn","queens",2015-01-26,2016-01-26,2015,2016
4240,"Unknown",11590,"queens","queens","westbury",2015-01-28,2016-01-28,2015,2016
4332,"Boxer",10022,"new york","unknown","new york",2015-01-29,2016-01-29,2015,2016
4341,"Unknown",11001,"queens","queens","not nyc",2015-01-29,2016-01-29,2015,2016
4519,"Unknown",11933,"manhattan","manhattan","calverton",2015-01-30,2016-01-25,2015,2016
4522,"Schnauzer, Miniature",121,"manhattan","manhattan",NA,2015-01-30,2016-02-13,2015,2016
4596,"Rhodesian Ridgeback",12143,"staten island","staten","ravena",2015-01-31,2016-01-31,2015,2016
4670,"Chihuahua",11364,"brooklyn","brooklyn","queens",2015-02-01,2016-02-01,2015,2016
4876,"Labrador Retriever Crossbreed",10032,"new york","unknown","new york",2015-02-03,2016-02-03,2015,2016
5125,"American Pit Bull Terrier/Pit Bull",10460,"manhattan","manhattan","bronx",2015-02-05,2016-03-02,2015,2016
5230,"Chihuahua",11209,"bronx","bronx","brooklyn",2015-02-06,2016-02-06,2015,2016
5286,"American Pit Bull Mix / Pit Bull Mix",8527,"brooklyn","brooklyn","jackson",2015-02-07,2016-02-07,2015,2016
5652,"American Pit Bull Mix / Pit Bull Mix",11210,"manhattan","manhattan","brooklyn",2015-02-11,2016-02-11,2015,2016
5816,"Boxer",10025,"new york","unknown","new york",2015-02-13,2017-02-13,2015,2017
6242,"Yorkshire Terrier",10262,"manhattan","manhattan",NA,2015-02-17,2016-02-17,2015,2016
6474,"American Pit Bull Mix / Pit Bull Mix",11238,"manhattan","manhattan","brooklyn",2015-02-19,2016-02-19,2015,2016
6948,"French Bulldog",10019,"queens","queens","new york",2015-02-24,2016-02-24,2015,2016
6979,"Unknown",10026,"new york city","unknown","new york",2015-02-24,2016-03-23,2015,2016
7027,"Yorkshire Terrier",11208,"queens","queens","brooklyn",2015-02-24,2016-02-24,2015,2016
7066,"Poodle, Miniature",10151,"new york","unknown","new york",2015-02-25,2016-02-25,2015,2016
7088,"Yorkshire Terrier",10021,"new york","unknown","new york",2015-02-25,2016-01-31,2015,2016
7124,"Lhasa Apso",11003,"queens","queens","elmont",2015-02-25,2016-02-25,2015,2016
7840,"Unknown",10708,"manhattan","manhattan","not nyc",2015-03-03,2017-08-20,2015,2017
8074,"Basenji",11001,"queens","queens","not nyc",2015-03-05,2016-03-08,2015,2016
8120,"Unknown",11212,"bronx","bronx","brooklyn",2015-03-05,2016-03-05,2015,2016
8311,"American Pit Bull Mix / Pit Bull Mix",11249,"manhattan","manhattan","brooklyn",2015-03-06,2016-03-06,2015,2016
8341,"American Pit Bull Mix / Pit Bull Mix",10927,"manhattan","manhattan","haverstraw",2015-03-07,2016-03-07,2015,2016
8480,"Chihuahua",11385,"brooklyn","brooklyn","queens",2015-03-09,2016-03-09,2015,2016
8568,"American Pit Bull Terrier/Pit Bull",10034,"new york","unknown","new york",2015-03-10,2016-03-10,2015,2016
8747,"Unknown",10309,"brooklyn","brooklyn","staten",2015-03-11,2020-03-12,2015,2020
8913,"Labrador Retriever",10314,"brooklyn","brooklyn","staten",2015-03-13,2016-03-10,2015,2016
8970,"Poodle",10247,"manhattan","manhattan",NA,2015-03-13,2016-03-13,2015,2016
8971,"Beagle",10314,"brooklyn","brooklyn","staten",2015-03-13,2016-03-10,2015,2016
9282,"Bull Dog, English",10013,"queens","queens","new york",2015-03-17,2016-03-17,2015,2016
10058,"Unknown",10014,"new york","unknown","new york",2015-03-25,2016-04-29,2015,2016
10286,"American Pit Bull Terrier/Pit Bull",11545,"queens","queens","glen head",2015-03-26,2016-03-26,2015,2016
10344,"Maltese",10025,"new york","unknown","new york",2015-03-26,2017-03-26,2015,2017
10376,"German Shepherd Crossbreed",10025,"new york","unknown","new york",2015-03-26,2016-03-26,2015,2016
10389,"Schnauzer, Standard",11354,"brooklyn","brooklyn","queens",2015-03-26,2016-03-20,2015,2016
10490,"Unknown",11001,"queens","queens","not nyc",2015-03-27,2016-05-09,2015,2016
10770,"West High White Terrier",10036,"new york","unknown","new york",2015-03-29,2016-04-30,2015,2016
10934,"Wheaton Terrier",11109,"manhattan","manhattan","queens",2015-03-30,2016-03-30,2015,2016
11037,"American Pit Bull Terrier/Pit Bull",10465,"manhattan","manhattan","bronx",2015-03-31,2016-03-31,2015,2016
11333,"Australian Shepherd",11109,"manhattan","manhattan","queens",2015-04-03,2016-04-03,2015,2016
11385,"Unknown",10463,"new york","unknown","bronx",2015-04-03,2016-04-13,2015,2016
11391,"Unknown",11375,"manhattan","manhattan","queens",2015-04-03,2016-04-18,2015,2016
12102,"American Staffordshire Terrier",11415,"brooklyn","brooklyn","queens",2015-04-09,2016-04-09,2015,2016
12414,"Rottweiler",10463,"manhattan","manhattan","bronx",2015-04-11,2016-04-11,2015,2016
12681,"Labrador Retriever",11040,"queens","queens","new hyde park",2015-04-13,2016-04-13,2015,2016
12863,"Pomeranian",11001,"queens","queens","not nyc",2015-04-15,2016-05-02,2015,2016
13207,"Shih Tzu",10463,"manhattan","manhattan","bronx",2015-04-16,2016-04-16,2015,2016
13219,"Australian Shepherd",11694,"brooklyn","brooklyn","queens",2015-04-17,2016-04-17,2015,2016
13339,"American Pit Bull Terrier/Pit Bull",10704,"bronx","bronx","yonkers",2015-04-17,2016-04-17,2015,2016
13727,"Shiba Inu",11249,"manhattan","manhattan","brooklyn",2015-04-20,2016-04-30,2015,2016
13778,"Poodle, Standard",11003,"queens","queens","elmont",2015-04-21,2016-04-22,2015,2016
13812,"West Highland White Terrier",11691,"manhattan","manhattan","queens",2015-04-21,2016-04-21,2015,2016
13936,"Maltese",11001,"queens","queens","not nyc",2015-04-22,2016-04-22,2015,2016
14409,"Golden Retriever",11509,"queens","queens","atlantic beach",2015-04-24,2016-04-24,2015,2016
14551,"Papillon",11010,"queens","queens","franklin square",2015-04-25,2016-04-25,2015,2016
14567,"Australian Shepherd",10707,"manhattan","manhattan","tuckahoe",2015-04-25,2016-04-25,2015,2016
14599,"Golden Retriever",10028,"queens","queens","new york",2015-04-25,2020-04-16,2015,2020
14898,"Unknown",11356,"bronx","bronx","queens",2015-04-27,2016-04-27,2015,2016
