"RowNumber","BreedName","ZipCode","Borough","cleaned_borough","supposed_borough","issued_year","expired_year"
662,"Italian Greyhound",7030,"manhattan","manhattan",NA,2014,2016
1040,"Beagle",28677,"staten island","staten",NA,2014,2016
1269,"Australian Shepherd",10125,"manhattan","manhattan",NA,2014,2017
1598,"West High White Terrier",11040,"queens","queens",NA,2014,2016
1988,"Australian Shepherd",10468,"manhattan","manhattan","bronx",2015,2016
2031,"American Pit Bull Terrier/Pit Bull",10463,"manhattan","manhattan","bronx",2015,2016
2126,"Shih Tzu",11239,"bronx","bronx","brooklyn",2015,2016
2295,"Unknown",10009,"new york","unknown","manhattan",2015,2016
2615,"Poodle",11001,"queens","queens",NA,2015,2016
2684,"Yorkshire Terrier",10028,"new york","unknown","manhattan",2015,2016
2718,"Maltese",11212,"manhattan","manhattan","brooklyn",2015,2016
2723,"Maltese",11223,"manhattan","manhattan","brooklyn",2015,2016
2803,"Dachshund",12051,"queens","queens",NA,2015,2016
2808,"American Staffordshire Terrier",11001,"queens","queens",NA,2015,2016
2895,"American Pit Bull Terrier/Pit Bull",11692,"brooklyn","brooklyn","queens",2015,2016
2930,"Yorkshire Terrier",11469,"bronx","bronx",NA,2015,2016
3054,"American Pit Bull Terrier/Pit Bull",11001,"queens","queens",NA,2015,2016
3093,"American Staffordshire Terrier",11001,"queens","queens",NA,2015,2016
3447,"Shih Tzu",53494,"bronx","bronx",NA,2015,2016
3579,"Unknown",11003,"queens","queens",NA,2015,2016
3631,"Havanese",11040,"queens","queens",NA,2015,2016
3801,"Bernese Mountain Dog",11746,"manhattan","manhattan",NA,2015,2016
3806,"Shih Tzu",11746,"manhattan","manhattan",NA,2015,2016
3883,"Bull Terrier",10024,"new york","unknown","manhattan",2015,2016
4032,"Yorkshire Terrier",53494,"bronx","bronx",NA,2015,2016
4057,"Poodle",11693,"brooklyn","brooklyn","queens",2015,2016
4240,"Unknown",11590,"queens","queens",NA,2015,2016
4332,"Boxer",10022,"new york","unknown","manhattan",2015,2016
4341,"Unknown",11001,"queens","queens",NA,2015,2016
4494,"Shih Tzu",10101,"manhattan","manhattan",NA,2015,2017
4519,"Unknown",11933,"manhattan","manhattan",NA,2015,2016
4522,"Schnauzer, Miniature",121,"manhattan","manhattan",NA,2015,2016
